Title,Location,Price,Details,City
Two Bed Apartment For Sale | 2 Bed Flat On Installment | Twin City Towers Faisal Town Islamabad | Apartment For Sale On Easy Four Years Installment,"Faisal Town - F-18, Islamabad",30 Crore,Twin City Towers is RDA approved hi,Islamabad
Studio Apartment For Sale | Apartments For Sale on Instalment | 4-Years Easy Instalment Plan,"Faisal Town - F-18, Islamabad",1.72 Crore,Twin City Towers is RDA approved hi,Islamabad
Three Bed Flat Flor Sale | Flat For Sale In Gulberg Greens Islamabad | Apartments For Sale On Easy Instalment Plan | The Magnus Mall Gulberg Islamabad,"Gulberg Greens, Gulberg",1.36 Crore,The Magnus Mall Islamabad is an Ico,Islamabad
7 Marla House For Sale | House For Sale Gulberg Greens Islamabad | Gulberg Residencia | Gulberg Greens Islamabad | House For Sale,"Gulberg Residencia, Gulberg",74.17 Lakh,"7 Marla Brand New House For Sale 
B",Islamabad
5 Marla House Available For Sale,"Bahria Enclave - Sector N, Bahria Enclave",3 Crore,Regal Living In The Heart Of The Ca,Islamabad
1 Bed Flat Available For Sale,"Bahria Enclave - Sector G, Bahria Enclave",3.5 Crore,Regal living in the heart of the ca,Islamabad
Chance Deal Brand New Top location Park Facing 1 Bed Apartment Available For Sale.,"Bahria Enclave - Sector A, Bahria Enclave",2.35 Crore,One Bed Apartment Having 570sqft Av,Islamabad
"Top Beautiful Location,Murree Facing Properly 1 Bed Apartment Available For Sell.","Bahria Enclave - Sector G, Bahria Enclave",60 Lakh,Brand New 1 Bed Apartment Available,Islamabad
Best Options For Flat Is Available For sale In Bahria Enclave - Sector C,"Bahria Enclave - Sector C, Bahria Enclave",55 Lakh,"Apartment is available for sale

2",Islamabad
F-10/3 House for sale,"F-10, Islamabad",65 Lakh,Marriott Estate And Builders Offer,Islamabad
F-10/3 House for sale,"F-10, Islamabad",1.1 Crore,Marriott Estate And Builders Offer,Islamabad
E-11 House For Sale,"E-11, Islamabad",30 Crore,Marriott Estate And Builders Offer,Islamabad
2 Bed Apartment (1182 Sq Feet) For Sale In Islamabad,"E-11, Islamabad",3.85 Crore,"Ultra-luxury, ultra-modern, spaciou",Islamabad
2 Bed Apartment (1125 Sq Feet) For Sale In Islamabad,"F-11, Islamabad",3.85 Crore,"Ultra-luxury, ultra-modern, spaciou",Islamabad
"2 Bed Apartment (1182 Sq Feet) for Sale in Gulberg Greens, Islamabad","F-10, Islamabad",90.92 Lakh,"Ultra-luxury, ultra-modern, spaciou",Islamabad
2 Bed Apartment (1125 Sq Feet) for Sale in Islamabad,"B-17, Islamabad",3.85 Crore,"Ultra-luxury, ultra-modern, spaciou",Islamabad
2 Bed Apartment (1125 Sq Feet) for Sale in Islamabad,"Gulberg Residencia, Gulberg",3.85 Crore,"Ultra-luxury, ultra-modern, spaciou",Islamabad
2 Bedroom Apartment with servant quartar Available In Eighteen - Golf Course View,"Eighteen, Kashmir Highway",1.05 Crore,Best Apartments In Pavilion-17 At E,Islamabad
"Luxurious 3-bed apartment + servant quarter in Eighteen with 100% golf course view for sale. Modern amenities, serene surroundings.","Eighteen, Kashmir Highway",3.85 Crore,Best Apartments In Pavilion-17 At E,Islamabad
Brand New 6 bedroom Luxury house,"DHA Phase 2 - Sector B, DHA Defence Phase 2",4.39 Crore,1 kanal luxury house available for,Islamabad
10 MARLA USED HOUSE FOR SALE MPCHS F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SECTOR,"F-17, Islamabad",6.03 Crore,10 MARLA USED HOUSE FOR SALE MPCHS,Islamabad
Kanal House Available For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector D, DHA Defence Phase 2",9.95 Crore,We offer you Kanal brand new house,Islamabad
"Prime Location 1800 Square Feet House available for sale in G-13/2, Islamabad","G-13/2, G-13",2.81 Crore,Brand New 30x60 Modern Luxury House,Islamabad
Brand new 40x80 house available for sale in G-13,"G-13/3, G-13",8.85 Crore,"6 bedrooms 
7 bathrooms 
2 drawing",Islamabad
2 Beds Apartment Available For Sale On Installment In Faisal Margalla City (fmc) Adjacent B-17 Block A,"Faisal Margalla City, B-17",5.5 Crore,"Project Features:
Spacious entrance",Islamabad
2 Beds Apartment Available For Sale In Beautiful Sector Of Islamabad E-11 Golra,"E-11, Islamabad",9.5 Crore,"Project Features:
Available on grou",Islamabad
2 Beds Apartment Available For Sale In Beautiful Sector Of Islamabad E-11 Golra,"E-11, Islamabad",65 Lakh,"Available on ground Floor
Spacious",Islamabad
High $$$ rent: Fully Furnished 2 bed room Apt. on High floor Diplomatic Enclave,"Karakoram Diplomatic Enclave, Islamabad",1.25 Crore,This is rare opportunity to buy an,Islamabad
8 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block H, Soan Garden",1 Crore,"CLIENT SATISFACTION IS OUR GOAL 
HE",Islamabad
E-11 House For Sale,"E-11, Islamabad",6.5 Crore,Marriott Estate And Builders Offer,Islamabad
1 Bed Luxury Apartment available on 3 Years Instalment ( MALL OF KORANG),"Korang Town, Islamabad",3.5 Crore,1 Bed Luxury Apartment Available On,Islamabad
Tile Flooring Renovated Double Story House In I-10,"I-10, Islamabad",12.3 Crore,6 Marla Tile Flooring Renovated Dou,Islamabad
1.5 Kanal Brand New Beautiful Corner Triple Unit House Available For Sale In DHA PHASE 2 ISLAMABAD,"DHA Defence Phase 2, DHA Defence",39 Lakh,1.5 Kanal Brand New Beautiful Tripl,Islamabad
One Kanal Brand New Beautiful Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",4 Crore,"Prime Location Of DHA 2 ISLAMABAD
6",Islamabad
One Kanal Brand New Beautiful Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",16 Crore,"Prime Location Of DHA 2 ISLAMABAD
6",Islamabad
Kanal Brand New Beautiful Corner Triple Unit House Available For Sale In Dha Phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",8.6 Crore,"Prime Location Of DHA 2 ISLAMABAD
9",Islamabad
Kanal Brand New Beautiful Double Unit House On Main Boulevard Near Jacaranda Family Club,"DHA Defence Phase 2, DHA Defence",8.75 Crore,kanal Brand New Beautiful Double Un,Islamabad
Prime Location Flat For sale Situated In Bahria Garden City,"Bahria Garden City, Bahria Town",6.63 Crore,"TERMEZZO GLOF VIEW APPARTMENT
ONE B",Islamabad
A Liveable House / 1066 Sqyrds / F-7 Is Available For Sale,"F-7, Islamabad",43.5 Crore,"Details: 
1. Size 80. x 120 = 1066",Islamabad
1 Kanal House In Central DHA Defence Phase 2 For sale,"DHA Defence Phase 2, DHA Defence",83.7 Lakh,"Beautiful House 
Double Unit
2 Kitc",Islamabad
15 Marla Brand New House For Sale,"DHA Defence Phase 2, DHA Defence",13.75 Crore,Newly Constructed At A Very Peacefu,Islamabad
BRAND NEW DOUBLE UNIT FULL HOUSE FOR SALE IN DHA PHASE 2 IN REASONABLE PRICE,"DHA Defence Phase 2, DHA Defence",6.8 Crore,"BRAND NEW DOUBLE UNIT HOUSE

6 BEDR",Islamabad
Prime Location G-9/4 House For sale Sized 10 Marla,"G-9/4, G-9",40.55 Lakh,Prime Location Margalla View Double,Islamabad
Your Dream 2000 Square Feet Flat Is Available In Constitution Avenue,"Constitution Avenue, Islamabad",8.5 Crore,Buy a Flat from an investment point,Islamabad
Sector C 1 Kanal Prime Location House For Sale,"Bahria Enclave - Sector C, Bahria Enclave",7 Crore,Bahria Enclave islamabad Sector C 1,Islamabad
(35*70) Proper Corner First Entry Designer house for sale in G-13 Islamabad,"G-13, Islamabad",8.5 Crore,Beautiful made house with elegant d,Islamabad
Perfect 1 Kanal House In Soan Garden - Block F For sale,"Soan Garden - Block F, Soan Garden",7.65 Crore,Double Storey House Available For S,Islamabad
End Your Search For House Here And sale Now,"G-13/1, G-13",7.95 Crore,Brand New 25x40 Modern Luxury House,Islamabad
Affordable Prime Location House Of 1000 Square Feet Is Available For sale,"G-13/4, G-13",4.9 Crore,Brand New 25x40 Modern Luxury House,Islamabad
10 marla Brand new House for sale in Top City-1 islamabad,"Top City 1 - Block A, Top City 1",3.6 Crore,"10 Marla Brand new House 
Double un",Islamabad
10 marla Brand new House for sale in Top City-1 islamabad,"Top City 1, Islamabad",3.45 Crore,"Brand new Designer House 
10 marla",Islamabad
1 Kanal House For Sale In Top City-1,"Top City 1 - Block B, Top City 1",3.8 Crore,1 Kanal newly constructed house for,Islamabad
TRIPLE STORY 10 MARLA HOUSE FOR SALE,"Soan Garden - Block H, Soan Garden",4.25 Crore,"CLIENT SATISFACTION IS OUR GOAL 
HE",Islamabad
6 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block H, Soan Garden",8.5 Crore,6 Marla double story house for sale,Islamabad
One Kanal Brand New Beautiful Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",3.3 Crore,"Prime Location Of DHA 2 ISLAMABAD
6",Islamabad
One Kanal Brand New Beautiful Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",2.5 Crore,"Prime Location Of DHA 2 ISLAMABAD
6",Islamabad
One Kanal Brand New Beautiful Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",10.5 Crore,"Prime Location Of DHA 2 ISLAMABAD
6",Islamabad
1.5 Kanal Luxurious Furnished Triple Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",10.85 Crore,"DHA Phase 2 Islamabad
1.5 Kanal Lux",Islamabad
One Kanal Brand New Beautiful Designer House Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",10.9 Crore,Prime Location Of DHA 2 ISLAMABAD,Islamabad
One Kanal Brand New Beautiful Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",16.5 Crore,"Prime Location Of DHA 2 ISLAMABAD
6",Islamabad
One Kanal Brand New Beautiful Double Unit House Available For Sale,"DHA Defence Phase 2, DHA Defence",13.7 Crore,"Prime Location Of DHA 2 ISLAMABAD
6",Islamabad
3bedrooms apartment for sale in E 11 4,"E-11/4, E-11",12 Crore,"3bedrooms
Attach washrooms
Tv loung",Islamabad
1350 Sqft Brand New 3 Bed Dd Flat Easily Loan Process,"Grey Noor Tower & Shopping Mall, Scheme 33",1.45 Crore,"3 BED DD BRAND NEW
EASILY LOAN PROC",Karachi
VILLA IS AVAILABLE FOR SALE,"Bahria Town - Precinct 12, Bahria Town Karachi",1.4 Crore,"BAHRIA TOWN KARACHI 

PRECINCT 12",Karachi
"152 Square Yards House For sale In Rs. 13,000,000 Only","Bahria Town Karachi, Karachi",47.96 Lakh,The House comes with spacious rooms,Karachi
Prominently-Located Prime Location House Available In Bahria Town Karachi For sale,"Bahria Town Karachi, Karachi",1.3 Crore,Villa Available For Sale In Bahria,Karachi
272 Sq Yard Villa Available For Sale At Good Location Of Bahria Town Karachi,"Bahria Town - Precinct 30, Bahria Town Karachi",1.15 Crore,"COUNSTRUCT YOUR 272,SQYD PRECINT 30",Karachi
Ready To Move Villa In Precinct 12 Ali Block,"Bahria Town - Ali Block, Bahria Town - Precinct 12",1.39 Crore,We Are Authorized Dealer Of Bahria,Karachi
Sports City Villa Available On Reasonable Price,"Bahria Sports City, Bahria Town Karachi",2.6 Crore,We Are Authorized Dealer Of Bahria,Karachi
Ready To Move 500 Yard Bahria Paradise Villa,"Bahria Paradise - Precinct 51, Bahria Paradise",1.35 Crore,We Are Authorized Dealer Of Bahria,Karachi
House for sale 400 sq yards One Unit 5 bed dd,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",1.92 Crore,"Gulistan e jauhar
400 sq yards Hous",Karachi
Gray Structure For Sale In Ali Ze Garden Malir Khokhrapar,"Malir, Karachi",4.15 Crore,"Gray structure
04 Bed + DD
Only Fin",Karachi
Dha 1000 yard brand new modern style house phase 8 for sale,"DHA Phase 8 - Zone A, DHA Phase 8",6 Crore,"1000 YARDS ON 90 FRONT
BRAND NEW OW",Karachi
1150 Sq Feet Brand New 3 Bed Dd Flat,"Grey Noor Tower & Shopping Mall, Scheme 33",80 Lakh,"3 BED DD BRAND NEW
PRIME LOCATION
E",Karachi
Brand New Project Creek View Tower 3 Bedrooms Attached Bathroom D Tv American Kitchen 2200 Square Feet Car Parking 3 Lifts Backup Generator,"Clifton - Block 2, Clifton",27 Crore,Clifton Block 2 Brand New Project C,Karachi
"Clifton Block 2 Oyster View Residency Fully Renovated 3 Bedrooms Attached Bathrooms D TVL American Kitchen Oper Floor Corner West Open 2 Lifts Stand By Garnetor Demand 27,000,000 Negotiable","Clifton - Block 2, Clifton",1.15 Crore,Clifton Block 2 Oyster View Residen,Karachi
Clifton Block 2 Elegance Residency 3 Bedrooms Attached Bathrooms D TVL American Kitchen Oper Floor Corner West Open Car Parking 2 Lifts Backup Garnetor Demand 32500000 Negotiable,"Clifton - Block 2, Clifton",6 Crore,Clifton Block Elegance Residency 3,Karachi
Urgent Sale Small Complex 3 Bedrooms Attached Bathroom D Tv Lounge American Kitchen 1st Floor 2200 Square Feet Car Parking Total 6 Apartments,"Clifton - Block 2, Clifton",2.7 Crore,Clifton Block 2 Small Complex 3 Bed,Karachi
Bungalow Available For Sale 450 Yard Old Ravian Co-operative Society,"Gulistan-e-Jauhar, Karachi",3.2 Crore,"Bungalow
House For Sale. Demand. 75",Karachi
Spacious 1650 Sq Ft Flat Available For Sale In Scheme 33,"Scheme 33, Karachi",2.9 Crore,"Description
Flat for Sale in Scheem",Karachi
Portion Available For Sale 300 Yd 2nd Floor With Roof Block 1a G Jauhar,"Gulistan-e-Jauhar - Block 1-A, Gulistan-e-Jauhar",7.5 Crore,Grab This Auspicious Opportunity To,Karachi
Get In Touch Now To Buy A House In Gulistan-E-Jauhar - Block 12,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",1.85 Crore,"Bungalow Available For Sale
Gulista",Karachi
House Available For Sale In Gulistan-e- Jauhar Block 1 Main 200 Ft Road,"Gulistan-e-Jauhar - Block 1, Gulistan-e-Jauhar",2.6 Crore,"400 Yard Bungalow 
Available For Sa",Karachi
Spacious 300 Sq Yd House Available For Sale In Gulistan-e-jauhar,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",7.95 Crore,"Bungalow Available For Sale
300 Yar",Karachi
Portion Available For Sale 4 Bed D/D Gulistan e Jauhar Blpck 3,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",16 Crore,"Portion Available For Sale 
4 Bed D",Karachi
120 Sq Yd Corner Bungalow Available For Sale In Saadabad Block 4,"Gulistan-e-Jauhar - Block 4, Gulistan-e-Jauhar",7.5 Crore,"Bungalow Available For Sale 
Corner",Karachi
Spacious Bungalow For Sale 400 Yard Ground + 1 Block 2 Gulistan E Jauhar,"Gulistan-e-Jauhar, Karachi",2.95 Crore,"Description
Greeting Reai Estate
Ja",Karachi
300 yards Bungalow with Basement Available for Sale on Booking,"DHA Phase 6, DHA Defence",8.25 Crore,300 yards Beautiful House is availa,Karachi
Aesthetically Designed Fully Renovated Bungalow,"DHA Phase 4, DHA Defence",11.5 Crore,"Newly Renovated Like Brand New!

50",Karachi
"Precint 31, 235sq yds Villa Available For Sale At Good Location of Bahria Town Karachi","Bahria Town - Precinct 31, Bahria Town Karachi",1.5 Crore,235 sq yds Villa In Just Rs:160lacs,Karachi
dha phase 300 sq yard bunglow for sale 2+3Bedroom drawing dining kitchen cabinets out class solid construction work solid wood work important tile important fixtures fitting owner built,"DHA Phase 4, DHA Defence",1.45 Crore,dha phase 300 sq yard bunglow for s,Karachi
235 Square Yards House Up For Sale In Bahria Town Karachi Precinct 31,"Bahria Town - Precinct 31, Bahria Town Karachi",10.25 Crore,235 Square Yards House Up For Sale,Karachi
House For Sale In Gulshan E Noman Adjacent To Saima Green Valley Malir,"Malir, Karachi",22.88 Lakh,"House For sale
In Gulshan e Noman a",Karachi
Brand New Bungalow for Sale in off Khayaban e Roomi DHA Phase 8,"DHA Phase 8, DHA Defence",1.45 Crore,"Brand New Bungalow for Sale,

500 Y",Karachi
"Beautiful Spanish Villa Bungalow for Sale at Khayaban e Hilal Phase 6, DHA","DHA Phase 6, DHA Defence",75 Lakh,Architect Designed 1000 yards Spani,Karachi
2 Bed Flat For Sale At Court Regency,"Callachi Cooperative Housing Society, Karachi",17 Crore,Beautiful Brand New apartment for s,Karachi
Flat For sale in Saima Twin Towers,"KDA Scheme 1, Karachi",23 Crore,Beautiful Spacious Apartment for sa,Karachi
Brand New 3 Bed D/D 1250 Sq Feet Flat For Sale,"Grey Noor Tower & Shopping Mall, Scheme 33",2.3 Crore,"NEW PROJECT
PRIME LOCATION IN SCHEM",Karachi
Book A Flat Of 750 Square Feet In Grey Noor Tower & Shopping Mall Karachi,"Grey Noor Tower & Shopping Mall, Scheme 33",4.7 Crore,"BRAND NEW PROJECT 
Brand New 2 Bed",Karachi
Brand New House Corner Park Facing,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",1.45 Crore,Brand New Bungalow Available For Sa,Karachi
Brand New Portion Available For Sale With Roof,"Adamjee Nagar, Gulshan-e-Iqbal Town",80 Lakh,"Note:
Our Charges One Percent Of de",Karachi
300 Square Yards House For sale In Gulshan-e-Jamal,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",13.85 Crore,The House enjoys the ideal location,Karachi
3 Unit Stylish House,"DHA Phase 6, DHA Defence",5.5 Crore,"3 UNIT 500 YARDS HOUSE FOR SALE 
KH",Karachi
700 yards house @ Most prime location of phase 5,"DHA Defence, Karachi",5.35 Crore,"OLD BUNGLOW 700 YARDS FOR SALE 
MOS",Karachi
West Open,"North Nazimabad - Block L, North Nazimabad",11 Crore,"Upper portion available for sale
No",Karachi
500 Square Yards House For sale In North Nazimabad - Block F,"North Nazimabad - Block F, North Nazimabad",14 Crore,"House available for sale
North Nazi",Karachi
Upper Portion For sale In Karachi,"North Nazimabad - Block H, North Nazimabad",1.6 Crore,"North Nazimabad block H
Near haydri",Karachi
Reserve A Centrally Located Upper Portion In North Nazimabad - Block L,"North Nazimabad - Block L, North Nazimabad",9 Crore,"Upper portion available for sale
No",Karachi
"300 Square Yards Upper Portion available for sale in North Nazimabad - Block L, Karachi","North Nazimabad - Block L, North Nazimabad",2.3 Crore,"Upper portion available for sale
No",Karachi
"Noman Centre, Block 5, Gulshan-e-iqbal Flat Is Available","Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",3 Crore,"3 Bed, DD, fully renovated spacious",Karachi
House For Sale Mashriqi Cooperative Housing Society Sector 52-a,"Mashraqi Society, Scheme 33 - Sector 52-A",3.9 Crore,Brand New House For Sell One unit M,Karachi
Daimond City Brand New House For Sell,"Diamond City, Gulshan-e-Maymar",1.2 Crore,Daimond City Brand New House For Se,Karachi
235 Square Yards House Up For Sale In Bahria Town Karachi Precinct 27,"Bahria Town - Precinct 27, Bahria Town Karachi",1.6 Crore,235 Square Yards House Up For Sale,Karachi
"125 Square Yards House Up For Sale In Bahria Town Karachi Precinct 12 ( Ali Block ) Park Facing , Near PSO Petrol Pump","Bahria Town - Precinct 12, Bahria Town Karachi",1.4 Crore,125 Square Yards House Up For Sale,Karachi
Highly-Desirable Prime Location 950 Square Feet Flat Available In Bahria Town Karachi,"Bahria Town Karachi, Karachi",2.53 Crore,Launching Price Of This Apartment W,Karachi
dha phase 8 1000 sq yard purely onwner built basement with swimming pool slightly used well maintained just like brand new top class construction top class location,"DHA Phase 8, DHA Defence",55 Lakh,dha phase 8 1000 sq yard purely onw,Karachi
BaHria heights Apartment is available for sale,"Bahria Heights, Bahria Town Karachi",28 Crore,"Babria heights
1100 sqt 
2 bed , 2",Karachi
Brand new apartment at Al Raheem Corner,"Shaheed Millat Road, Karachi",22.88 Lakh,Beautiful Brand New apartment for s,Karachi
3 Bedrooms Luxury Villa for Sale in Bahria Town Precinct 10a,"Bahria Town - Precinct 10-A, Bahria Town Karachi",70 Lakh,Bahria Town is a pioneer in Pakista,Karachi
Prime Location 500 Square Yards House For sale Is Available In Falcon Complex New Malir,"Falcon Complex New Malir, Malir",4.9 Crore,Practicality as well as design have,Karachi
Prime Location 500 Square Yards House In DHA Phase 8,"DHA Phase 8, DHA Defence",1.65 Crore,500 Sq. Yds. Brand New Bungalow For,Karachi
"Underpriced, High-end Luxurious Flat In Askari 5 - This won't last long!","Askari 5, Malir Cantonment",9.7 Crore,A Flat you have been looking to buy,Karachi
240 Yard Double Story Maintain House,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",17 Crore,"Gulshan-e-Iqbal
VVIP Block 4-A
240",Karachi
600 Yard Double Storey West Open House On 60 Feet Wide Road,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",4.7 Crore,"Gulshan e Iqbal
Block 7
600 Sq Yard",Karachi
Ready To Move Brand New Luxury 1 Bed Studio Apartment For Sale Located In Burkey Height Precinct 2 Bahria Town Karachi,"Bahria Town - Precinct 2, Bahria Town Karachi",5.25 Crore,"Burkey Height 
540 sq feets
Studio",Karachi
3 BED DD FLAT AVAILABLE FOR SALE,"Shaheed Millat Road, Karachi",9.7 Crore,"*Room &amp; Roof Real Estate*
*Well",Karachi
3 BED DD GROUND FLOOR AVAILABLE FOR SALE,"Kashmir Road, Karachi",58 Lakh,3 Bed dd available for sale ( 1500,Karachi
Beautiful Semi-Furnished Apartment for Sale in Brand New Building,"Guru Mandir Chorangi, Karachi",6 Crore,Nestled in the heart of a vibrant n,Karachi
Prime Location House For sale In Karachi,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",2.6 Crore,"BRAND NEW HOUSE FOR SALE

Size : 20",Karachi
Brand New House For Sell Mashriqi Cooperative Housing Society Sector 52-a,"Mashraqi Society, Scheme 33 - Sector 52-A",2 Crore,Brand New House For Sell Mashriqi C,Karachi
Diamond City House For Sale,"Diamond City, Gulshan-e-Maymar",3.5 Crore,Daimond City 120 Sqyd G+1 House For,Karachi
Flat For Sale,"Abul Hassan Isphani Road, Karachi",1.85 Crore,Commercial Flat For Sale 800sqft 3r,Karachi
Commercial Corner Portion For Sale In Scheme 33,"Scheme 33, Karachi",1.7 Crore,"Commercial portion For Sale 
1200 S",Karachi
Flat For Sale With Roof,"Scheme 33, Karachi",45 Lakh,Beautiful Flat For Sale With Roof S,Karachi
